Image_ID,Original_Prediction,Corrupted_Prediction,Ground_Truth,Confidence,VSPS,TaskConsistency,TaskSuccess,VSQ
0,3,3,3,0.9983859,0.7283966541290283,1,1,0.8910358458757401
1,8,8,8,0.99627656,0.6874979734420776,1,1,0.8742545068264007
2,8,8,8,0.92527544,0.3436800539493561,1,1,0.7225271135568619
3,0,0,0,0.885235,0.561951220035553,1,1,0.8018274873495103
4,6,6,6,0.8009142,0.5410178303718567,1,1,0.7765899807214738
5,6,3,6,0.59158075,0.6925206184387207,0,0,0.3953243985772133
6,1,1,1,0.98899835,0.34732693433761597,1,1,0.7367304414510727
7,6,6,6,0.98711306,0.5007098317146301,1,1,0.7977065414190293
8,3,3,3,0.9999465,0.7675297260284424,1,1,0.9070011943578721
9,1,9,1,0.5194645,0.45155099034309387,0,0,0.284513296186924
10,0,0,0,0.93304944,0.7620415091514587,1,1,0.8914264976978302
11,9,9,9,1.0,0.3057912290096283,1,1,0.7223164945840836
12,5,5,5,0.6644999,0.5301048755645752,1,1,0.7449419349431992
13,7,7,7,0.9999504,0.3738873600959778,1,1,0.7495450228452682
14,9,9,9,0.9999999,0.4830014407634735,1,1,0.7932005494832993
15,8,8,8,0.9032249,0.6970572471618652,1,1,0.8594678729772568
16,5,5,5,0.82135975,0.7171487212181091,1,1,0.8511314392089844
17,7,7,7,0.93798697,0.8880922794342041,1,1,0.9428343057632447
18,8,8,8,0.99954283,0.5788516998291016,1,1,0.8314492493867874
19,6,6,6,0.9999987,0.459825724363327,1,1,0.7839300245046616
20,7,7,7,0.9756045,0.5758084058761597,1,1,0.8254442632198334
21,2,2,0,0.787313,0.8822861909866333,1,0,0.9103770732879639
22,4,4,4,0.9999981,0.5276676416397095,1,1,0.811066672205925
23,9,9,9,0.99999976,0.5529763102531433,1,1,0.8211904823780061
24,5,5,5,0.9208166,0.6930080652236938,1,1,0.86136654317379
25,2,2,2,0.4501821,0.5447443127632141,1,1,0.7079341471195222
26,4,4,4,0.9993511,0.7807796001434326,1,1,0.912182053923607
27,0,0,0,0.9993487,0.5083353519439697,1,1,0.8032038778066636
28,9,9,9,0.9999982,0.5151559114456177,1,1,0.8060620099306107
29,6,6,6,0.9935394,0.5504915118217468,1,1,0.8189044833183289
30,2,2,6,0.46167952,0.6648868918418884,1,0,0.7582906588912011
31,5,5,5,0.99644715,0.770857036113739,1,1,0.907632240653038
32,4,4,4,0.95850056,0.5073010921478271,1,1,0.7946205526590348
33,5,5,5,0.98851657,0.6978217959403992,1,1,0.8768320351839065
34,9,9,9,1.0,0.7732412219047546,1,1,0.9092964917421341
35,8,8,2,0.5232099,0.7879983186721802,1,0,0.8198413163423539
36,4,4,4,0.9968528,0.7327417135238647,1,1,0.8924672484397889
37,9,9,1,0.99956745,0.496417373418808,1,0,0.798480436205864
38,9,9,9,1.0,0.45125946402549744,1,1,0.7805037885904312
39,5,5,5,0.99966013,0.5275512933731079,1,1,0.8109525412321091
40,4,4,4,0.9993987,0.7721404433250427,1,1,0.908735927939415
41,6,6,6,0.9999186,0.640170693397522,1,1,0.8560519933700561
42,5,5,5,0.99570435,0.38668549060821533,1,1,0.7538150727748871
43,6,6,6,0.9996805,0.5608781576156616,1,1,0.8242873698472977
44,0,0,0,0.9999089,0.5266973972320557,1,1,0.8106607526540757
45,9,9,9,1.0,0.67912757396698,1,1,0.8716510325670243
46,3,3,3,0.8421019,0.47500455379486084,1,1,0.7584221959114075
47,8,8,9,0.7817672,0.4959108829498291,1,0,0.7547177970409393
48,7,7,7,0.99338114,0.7145193815231323,1,1,0.8844839811325074
49,6,6,6,0.9862227,0.6461281776428223,1,1,0.8556958109140396
50,9,9,9,0.99993134,0.5569357872009277,1,1,0.8227605789899827
51,8,8,8,0.99970466,0.4574624001979828,1,1,0.782925894856453
52,2,2,0,0.61918,0.7205911874771118,1,0,0.8120724782347679
53,5,5,3,0.7124015,0.7837762236595154,1,0,0.8559907883405686
54,8,8,8,0.99861133,0.656298041343689,1,1,0.8622414916753769
55,8,8,8,0.9984478,0.7242779731750488,1,1,0.8894007414579392
56,7,7,7,0.9999784,0.444121390581131,1,1,0.7776442378759385
57,7,7,7,0.9992004,0.5558416843414307,1,1,0.8221767574548722
58,4,5,4,0.5641454,0.674451470375061,0,0,0.3826096698641777
